"TOA5","ngee-brw_A","CR1000","31227","CR1000.Std.18","CPU:ngee_intensive_site_A.CR1","27520","Met"
"TIMESTAMP","RECORD","at1m_Avg","at35m_Avg","dp1m_Avg","dp35m_Avg","rh1m","rh35m","ws1m_Avg","ws35m_Avg","summer_rain_Tot","short_up_Avg","short_dn_Avg","long_up_Avg","long_dn_Avg","albedo_Avg","Net_rad_Avg"
"TS","RN","Degrees Celsius","Degrees Celsius","Degrees Celsius","Degrees Celsius","Percent","Percent","meters/second","meters/second","millimeters","Watts / meter^2","Watts / meter^2","Watts / meter^2","Watts / meter^2","Percent","Watts / meter^2"
"","","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-09-05 18:00:00",0,0.052,-0.073,-2.286,-2.365,84.9,85.2,4.481,5.424,0,68.25,11.75,304,319.8,0.172,40.74
"2013-09-05 19:00:00",1,0.108,-0.021,-2.031,-2.104,85.7,85.8,4.382,5.368,0,58.47,9.5,308.2,320.2,0.161,37.02
"2013-09-05 20:00:00",2,0.243,0.081,-1.914,-2.003,84.5,84.8,4.26,5.172,0,98.2,16.59,308.4,322.8,0.167,67.22
"2013-09-05 21:00:00",3,0.61,0.381,-1.671,-1.792,84.8,85.5,4.407,5.369,0,165.8,28.39,310.1,328.9,0.171,118.6
"2013-09-05 22:00:00",4,1.01,0.745,-1.432,-1.579,82.7,83.1,4.41,5.316,0,195.4,33.93,312.6,333.2,0.174,140.8
"2013-09-05 23:00:00",5,1.298,1.002,-1.536,-1.712,83.4,84.1,4.852,5.922,0,237.6,41.13,303.3,336.3,0.171,163.4
"2013-09-06 00:00:00",6,1.234,0.974,-1.158,-1.303,84.3,85,4.998,6.034,0,182.9,30.7,309.5,333.5,0.167,128.3
"2013-09-06 01:00:00",7,1.148,0.949,-0.494,-0.569,89.3,90.3,5.026,6.124,0,127.8,21.29,315.4,330.6,0.166,91.3
"2013-09-06 02:00:00",8,1.085,0.948,0.028,-0.023,94.3,94.6,5.131,6.313,0.1,91.2,15.21,317.8,327.6,0.167,66.16
"2013-09-06 03:00:00",9,0.727,0.62,0.093,0.043,96.1,96.4,4.798,5.871,0.6,64.86,11.07,317.1,323.1,0.171,47.77
"2013-09-06 04:00:00",10,0.609,0.542,0.058,0.048,96.6,96.8,4.848,5.93,0.5,44.66,7.661,315.6,321.3,0.173,31.25
"2013-09-06 05:00:00",11,0.571,0.526,0.087,0.104,96.4,96.8,4.325,5.303,0.3,18.86,3.627,316,320,0.194,11.25
"2013-09-06 06:00:00",12,0.526,0.479,0.063,0.081,96.7,97.3,4.488,5.508,0.2,5.413,1.544,314.7,319,0.389,-0.423
"2013-09-06 07:00:00",13,0.496,0.449,0.075,0.094,97.1,97.5,4.666,5.751,0.3,-0.157,0.656,316.2,318.6,"NAN",-3.302
"2013-09-06 08:00:00",14,0.539,0.477,0.138,0.142,97.2,97.7,4.426,5.47,0.3,-0.581,0.734,316.2,318.6,-1.6,-3.677
"2013-09-06 09:00:00",15,0.74,0.704,0.337,0.366,97.3,97.8,4.513,5.57,0.2,-0.351,0.614,318.2,320,-2.168,-2.719
"2013-09-06 10:00:00",16,1.017,0.989,0.641,0.685,97.3,98.1,4.565,5.613,0.4,-0.184,0.342,320.3,321.5,-2.235,-1.723
"2013-09-06 11:00:00",17,1.126,1.101,0.775,0.822,97.8,98.2,4.796,5.862,0.3,-0.242,0.13,321.3,322.4,-0.552,-1.401
"2013-09-06 12:00:00",18,1.14,1.12,0.8,0.855,97.7,98.1,5.068,6.249,0.3,-0.235,0.089,321.3,322.6,-0.412,-1.692
"2013-09-06 13:00:00",19,1.162,1.13,0.837,0.883,97.9,98.7,5.076,6.237,0.8,-0.186,0.103,322,322.8,-0.585,-1.052
"2013-09-06 14:00:00",20,1.224,1.186,0.979,1.039,98.5,99.3,4.323,5.362,0.8,-0.063,0.081,323,323,"NAN",-0.186
"2013-09-06 15:00:00",21,1.439,1.407,1.224,1.294,98.4,99.2,3.511,4.355,0.5,0.426,0.075,325.3,324.2,0.266,1.476
"2013-09-06 16:00:00",22,1.56,1.526,1.353,1.421,98.4,99.2,2.321,2.848,0.4,4.801,0.733,325.4,324.7,0.15,4.683
"2013-09-06 17:00:00",23,1.83,1.781,1.629,1.678,98.6,99.3,1.81,2.201,0.8,15.51,2.161,326.6,326.5,0.14,13.49
"2013-09-06 18:00:00",24,2.22,2.13,2.017,2.018,98.7,99,1.238,1.438,0.2,40.9,5.713,327.2,330.1,0.14,32.32
"2013-09-06 19:00:00",25,2.715,2.61,2.493,2.485,98.4,99,1.482,1.701,0,68.55,9.74,330.1,335,0.142,53.92
"2013-09-06 20:00:00",26,3.629,3.492,3.353,3.302,97.9,98.1,1.342,1.525,0,150.5,24.11,326.3,344.4,0.157,108.2
"2013-09-06 21:00:00",27,5.704,5.503,5.023,4.855,93,93.7,1.702,1.92,0,341.8,63.8,313.2,363.7,0.184,227.5
"2013-09-06 22:00:00",28,7.167,6.813,5.498,5.312,85,86.2,2.519,2.895,0,423.7,81.1,306,374.1,0.191,274.6
"2013-09-06 23:00:00",29,7.769,7.42,5.374,5.228,84.7,86,3.301,3.831,0,446.4,86.8,290.2,376.7,0.194,273.1
"2013-09-07 00:00:00",30,8.13,7.791,5.197,5.043,83.4,84,3.381,3.974,0,395.9,78.82,277.6,374.3,0.199,220.4
"2013-09-07 01:00:00",31,7.163,6.919,4.615,4.539,82.1,83.1,3.646,4.357,0,287.5,55.89,283.6,364.1,0.192,151.1
"2013-09-07 02:00:00",32,7.951,7.694,4.919,4.828,78.92,79.53,3.349,3.943,0,295.2,62.3,275.1,366,0.211,142
"2013-09-07 03:00:00",33,7.591,7.436,4.586,4.576,84.1,85,3.493,4.155,0,220.8,48.43,274.9,359.1,0.22,88.2
"2013-09-07 04:00:00",34,6.383,6.273,4.024,4.045,86.5,87.1,3.506,4.233,0,141.9,32.87,272.1,348.4,0.232,32.71
"2013-09-07 05:00:00",35,4.152,4.197,2.867,2.984,94.7,95.2,2.563,3.132,0,40.06,8.3,269,334.5,0.187,-33.72
"2013-09-07 06:00:00",36,3.103,3.151,2.475,2.555,95.7,95.8,2.086,2.638,0,6.178,2.477,296,329,0.485,-29.29
"2013-09-07 07:00:00",37,4.417,4.502,3.546,3.635,93.4,93.3,2.395,3.004,0,0.497,1.172,326.5,335.6,"NAN",-9.81
"2013-09-07 08:00:00",38,4.802,4.899,3.697,3.777,92.2,92.2,2.303,2.934,0,-0.254,0.766,322.8,336.6,"NAN",-14.75
"2013-09-07 09:00:00",39,4.238,4.397,3.324,3.479,94.3,94.2,2.026,2.613,0,-1.06,0.717,309.5,332.7,-2.829,-25.03
"2013-09-07 10:00:00",40,3.815,3.863,3.012,3.084,95.1,95.3,2.503,3.111,0,-0.507,0.242,322.2,333.2,"INF",-11.77
"2013-09-07 11:00:00",41,3.427,3.442,2.732,2.798,95,95.4,2.426,2.981,0,-0.134,0.253,326.8,332.5,"NAN",-6.065
"2013-09-07 12:00:00",42,2.922,2.921,2.186,2.244,94.8,95.1,3.556,4.373,0,-0.284,0.005,324.8,330.6,-0.033,-6.058
"2013-09-07 13:00:00",43,2.496,2.492,1.828,1.896,95.7,96.3,4.029,4.915,0,-0.325,0.201,320.2,328.6,"NAN",-9.01
"2013-09-07 14:00:00",44,2.253,2.239,1.699,1.75,96.4,96.9,2.778,3.458,0.6,-0.37,0.242,324.6,328,"INF",-3.962
"2013-09-07 15:00:00",45,1.986,1.97,1.53,1.576,97,97.4,2.611,3.259,0,0.142,0.528,318.1,326.1,"NAN",-8.41
"2013-09-07 16:00:00",46,1.98,1.974,1.557,1.611,97.1,97.5,2.995,3.753,0,5.689,1.345,316.5,325.8,0.28,-4.959
"2013-09-07 17:00:00",47,2.015,1.937,1.635,1.637,97.3,97.9,3.442,4.329,0,23.09,3.793,322.7,327.4,0.166,14.56
"2013-09-07 18:00:00",48,2.337,2.254,1.933,1.914,96,95.7,3.326,4.188,0,53.9,8.73,322.9,330.5,0.162,37.53
"2013-09-07 19:00:00",49,2.656,2.509,1.947,1.824,94.7,95.3,3.686,4.622,0,105.8,17.55,318.8,334.5,0.166,72.56
"2013-09-07 20:00:00",50,2.836,2.654,2.159,2.086,94.8,95.2,3.622,4.505,0,94.7,15.6,325.8,335.8,0.165,69.08
"2013-09-07 21:00:00",51,3.181,2.956,2.339,2.235,93.8,94.7,3.745,4.649,0,157.9,26.76,325.4,340.3,0.169,116.2
"2013-09-07 22:00:00",52,3.54,3.233,2.532,2.393,92,93.4,3.625,4.461,0,168.2,28.49,327.8,344.1,0.169,123.4
"2013-09-07 23:00:00",53,3.656,3.384,2.407,2.322,92.6,93.9,3.277,4.044,0,142.7,23.72,328.6,344.4,0.166,103.2
"2013-09-08 00:00:00",54,3.718,3.464,2.581,2.521,91.2,92,2.989,3.693,0,130.4,21.58,329,344.5,0.165,93.3
"2013-09-08 01:00:00",55,3.296,3.071,2.394,2.343,96.1,97.3,3.738,4.55,0,106.5,17.18,328.7,341.1,0.161,76.91
"2013-09-08 02:00:00",56,2.318,2.151,1.908,1.88,97.6,98.6,4.163,5.132,0,72.52,11.78,326,334.6,0.162,52.18
"2013-09-08 03:00:00",57,1.779,1.652,1.459,1.47,97,97.8,3.805,4.642,0,62.66,10.33,321.4,331.5,0.165,42.2
"2013-09-08 04:00:00",58,1.659,1.507,1.072,1.027,96.6,97.5,4.008,4.961,0,48.5,8.33,315.8,329.1,0.171,26.85
"2013-09-08 05:00:00",59,1.419,1.293,0.998,0.998,97,97.4,4.016,4.976,0,15.73,2.646,321.1,326.4,0.169,7.757
"2013-09-08 06:00:00",60,1.291,1.255,0.916,1.002,97.7,98.4,3.652,4.517,0,2.664,0.541,321.5,325.1,0.244,-1.51
"2013-09-08 07:00:00",61,1.194,1.175,0.887,0.988,98,98.9,3.395,4.219,0,-0.133,0.144,321,324,"NAN",-3.239
"2013-09-08 08:00:00",62,1.131,1.072,0.886,0.944,98.5,99.3,3.369,4.182,0,-0.233,0.085,321.5,323.6,"NAN",-2.373
"2013-09-08 09:00:00",63,1.339,1.293,1.114,1.188,98.4,99.2,3.674,4.535,0,-0.208,0.199,322.1,324.3,"NAN",-2.675
"2013-09-08 10:00:00",64,1.112,1.055,0.879,0.936,98.6,99.3,3.943,4.89,0,-0.323,0.046,320.9,323.3,-0.692,-2.742
"2013-09-08 11:00:00",65,0.859,0.794,0.616,0.659,98,98.8,4.432,5.523,0,-0.494,-0.012,317.9,322.2,-0.045,-4.777
"2013-09-08 12:00:00",66,0.531,0.461,0.271,0.301,98.4,98.8,4.392,5.423,0,-0.438,-0.033,317.1,320.6,-0.03,-3.893
"2013-09-08 13:00:00",67,0.493,0.422,0.256,0.285,98.4,99.2,4.39,5.48,0,-0.265,0.105,317.2,319.9,-0.867,-3.078
"2013-09-08 14:00:00",68,0.482,0.425,0.244,0.288,97.9,98.7,4.93,6.106,0,-0.332,-0.049,317.6,320,-0.164,-2.608
